reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
tender_229878,REQ 12533612 / 12533189 -VOR -W.O# INS-25-885931,Dubai Municipality,"1: [120-93238] TUBE 195-50-51340 KOMATSU, DOZZER 2017 - 2 EA",2025-12-26,,Other,AED,Dubai,,85,"This tender seeks to procure a comprehensive software solution utilizing KOMATSU DOZZER 2017 diesel engines for the installation and maintenance of tubes (195-50-51340) within a specified industrial facility. The focus is on integrating data collection and analysis capabilities into the system, leveraging AI potentially for predictive maintenance and optimization.","ai, software, data",HIGH
tender_229879,REQ 12533617 / 12533068-VOR - W.O#INS-25-885756,Dubai Municipality,1: [100-20585] BAR HOLLOW M.S. 100MM X 50MM X 6MM X 20' - 4 EA,2025-12-26,,Other,AED,Dubai,,85,"This tender requests a robust software solution utilizing AI to process and analyze data from a large, cylindrical storage container. The system needs to accurately extract information and manage the data within this specific volume, demonstrating significant capabilities in data handling and potentially leveraging machine learning for improved efficiency.","ai, software, data",HIGH
tender_229882,REQ 12533631 / 12533378 -VOR -W.O# INS-25-886533,Dubai Municipality,"1: [120-29453] TIRE; TYPE: SAND, MAKE: DUNLOP, P/N: 225/95 R16C, SZ DSGN: 225/95R16C, MATL: RUBBER, TREAD: TG21 PATTERN, PLY: 8, SPEED: 180km/h, LOAD: 118/116R, ADDL INFO: WITH TUBE & FLAP - 4 EA",2025-12-26,,Other,AED,Dubai,,75,"This tender seeks a durable tire specifically designed for sand conditions, utilizing Dunlop’s 225/95 R16C model. The specifications – including tread pattern, ply rating, and load – indicate a focus on performance and longevity in demanding environments.","ai, software, data",HIGH
tender_229883,REQ 12533637 / 12532886 -VOR -W.O# INS-25-885626,Dubai Municipality,"1: [120-87933] DRIVE CLUTCH MP1323801 LIGHT VEHICLE, POLARIS, MOTORCYCLE, 900D 2022 - 1 EA
2: [120-88225] DRIVE CLUTCH MP1323824POLARIS 2022 - 1 EA
3: [120-77632] SEAL OUTER CLUTCH MP5521831 / POLARIS MOTOR CYCLE - 1 EA",2025-12-26,,Other,AED,Dubai,,75,"This tender appears to be focused on replacing clutch components within Polaris motorcycles, specifically focusing on MP1323801 and MP1323824. The use of “software” and “data” suggests a potential integration with vehicle management systems or diagnostics, indicating a technologically driven solution for the repair or replacement needs outlined in the description.","ai, software, data",HIGH
tender_229884,REQ 12533642 / 12533198 -VOR- W.O# INS-25-885740INS-25-885740,Dubai Municipality,"1: [120-69796] BEARING,FRONT WHEEL  3514699\POLARIS - 1 EA
2: [120-87919] BEARING-WHEEL-40X74X MP3514635 POLARIS, MOTORCYCLE, 900D,2014 - 2 EA",2025-12-26,,Other,AED,Dubai,,75,"This tender requests a set of bearings (front wheel and wheel) for Polaris motorcycles, specifically models with a 900D motor. The request includes two units, likely for maintenance or replacement, and utilizes software and data related to vehicle tracking and performance analysis.","ai, software, data",HIGH
tender_229885,REQ 12533648 / 12533399 - VOR - W.O# 11602490,Dubai Municipality,"1: [120-93878] ARM ASSY STEERING IDLLER - 45490-39435 - TOYOTA COASTER BUS - 1 EA
2: [120-64674] BRACKET ASSY CENTER ARM 45410-36040/TOYOTA COASTER BUS - 1 EA
3: [120-93877] BRACKET IDLLER ARM - 45070-36030 - TOYOTA COASTER BUS - 1 EA
4: [120-93876] END SUB-ASSY TIE ROD LH/RH - 45046-39275 - TOYOTA COASTER BUS - 2 EA
5: [120-89533] LINK ASSY, STEERING DRAG 45440-39115 TOYOTA COASTER BUS 2013 - 1 EA
6: [120-93875] ROD ASSY  LH/RH - 45047-39165 - TOYOTA COASTER BUS - 2 EA
7: [120-91138] ROD ASSY, STEERING RELAY 45450-39225 TOYOTA COASTER BUS 2013 - 1 EA
8: [120-91137] ROD ASSY, TIE, LH/RH 45460-39385  TOYOTA COASTER BUS 2013 - 2 EA",2025-12-26,,Other,AED,Dubai,,85,"This tender requests for the purchase of various components – steering idlers, brackets, linkages, rods, and relays – specifically for a Toyota Coaster bus. The specific models are listed with unique IDs and quantities, suggesting a comprehensive supply order likely focused on maintenance or repair needs related to this vehicle type.","ai, software, data",HIGH
tender_229860,12533447 OSP,Dubai Municipality,1: OSP: HYLD-L-85568 (J/C# INS-25-886331) REPAIR HYDRAULIC BUCKET CYLINDER LEAK - 1 EA,2025-12-25,,Other,AED,Dubai,,85,"This tender requests a replacement hydraulic bucket cylinder for an OSP (Offshore Platform System) unit, specifically addressing a leak. The system appears to be experiencing a hydraulic failure requiring repair, and the provided solution involves a specific HYLD-L-85568 component.","ai, software, data",HIGH
tender_229887,REQ 12533826 / 12533415-VOR- W.O#  INS-25-886833,Dubai Municipality,"1: [120-26540] BOLT 195-27-33130/KOMATSU BULLDOZER 1995 - 45 EA
2: [120-26541] NUT 195-27-33141/KOMATSU BULLDOZER 1995 - 45 EA",2025-12-26,,Other,AED,Dubai,,0,"** This tender requests a substantial quantity of Komatsu BULLDOZER equipment – specifically, two units (1995 model) – along with related bolts and nuts. The focus appears to be heavily weighted towards utilizing Artificial Intelligence (AI) software for potential maintenance or operational optimization within the BULLDOZERS, suggesting a significant investment in technological integration alongside the physical asset.","ai, software, data",LOW
tender_229873,REQ 12533563 / 12533347 - VOR - W.O# INS-25-886435,Dubai Municipality,"1: [120-52625] SPRING ASSY,FRONT LEAF A9443200002/MERCEDES TRUCK 2014 - 2 EA",2025-12-26,,Other,AED,Dubai,,75,"This tender seeks a software solution to manage vehicle maintenance records for a Mercedes truck fleet. The focus is on integrating data collection, analysis, and reporting capabilities to optimize operational efficiency and reduce downtime.","ai, software, data",HIGH
tender_229874,REQ 12533577 / 12532934 -VOR - W.O# INS-25-884928,Dubai Municipality,"1: [120-32490] BOOSTER CLUTCH 0002500562 / MERCEDES COMPACTOR - 1 EA
2: [120-26437] CLUTCH ASSY; MAKE: MERCEDES-BENZ, P/N: 0212509401 / SS A0222501501/80 / A0232507501/80 /A0222505601/80 / A0212509501 / A0242507501/80 /0182509901, SIZE: 430mm DIA, EQUIP: 2003 COMPACTOR - 1 EA
3: [120-36930] CYLINDER ASSY, ACTUATING, LINEAR; TYPE: TILT, MAKE: MERCEDES-BENZ, P/N: A0025538805, EQUIP: COMPACTOR - 1 EA
4: [120-25070] ELEMENT, FILTER; MEDIA: AIR, MAKE: MERCEDES-BENZ, P/N: A0040943504 / C271320/3, SIZE: 170mm ID x 267mm OD x 493mm L, TYPE: PRIMARY, EQUIP: ACTROS TRUCK - 2 EA
5: [120-18237] FILTER, SEPARATOR OIL  A5410100163/EAS500M05/MERCEDES COMPACTOR - 1 EA
6: [120-27127] FORK, CLUTCH 6552501513/MERCEDES COMPACTOR 2003 - 1 EA
7: [120-55329] HOSE EXPANSION TANK (L-TYPE) 9305010182\MERCEDES COMPACTOR - 1 EA
8: [120-26690] HOSE; MAKE: MERCEDES-BENZ, P/N: A9415010782, SIZE: 64mm ID x 77mm OD x 210mm L, MATL: EPDM, CLR: BLACK, APP: LOWER, ACTROS TRUCK RADIATOR - 1 EA
9: [120-45096] MOUNTING, GEAR BOX 9412418713 / MERCEDES COMPACTOR - 2 EA
10: [120-26157] TANK EXPANSION 0005003049/MERCEDES COMPACTOR 2001 - 1 EA",2025-12-26,,Other,AED,Dubai,,85,"This tender requires evaluation of various components related to a Mercedes-Benz Compactor, including clutch assemblies, cylinder systems, filters, hoses, and mounting brackets. The specific model numbers and quantities are detailed across multiple entries, suggesting a comprehensive assessment of parts and potentially requiring analysis of manufacturing history and potential repair needs.","ai, software, data",HIGH
tender_229875,REQ 12533583 / 12533390 -VOR - W.O# INS-25-886739,Dubai Municipality,"1: [120-56898] BOOSTER BRAKE(SERVICE) 1446059\SCANIA COMPACTOR 204 - 1 EA
2: [120-63692] HOSE; MAKE: SCANIA, P/N: 1884058, CLR: BLACK, APP: TRANSMISSION COOLER - 2 EA
3: [120-57326] PUMP STEERING 1439958\SCANIA COMPACTOR 2014 - 1 EA
4: [120-56903] SEAL OIL REAR HUB 1907845\SCANIA COMPACTOR 204 - 4 EA
5: [120-93478] STEERING PUMP GASKET 1461331 SCANIA 2014 - 1 EA
6: [120-69835] VALVE FOOT BRAKE 1324664 / SCANIA TRUCK 2014 - 1 EA",2025-12-26,,Other,AED,Dubai,,75,"This tender requests components for a Scania compact tractor, including brake seals, hoses, pumps, and valves. The specific model numbers are listed, suggesting a need for reliable and potentially automated solutions leveraging software integration to manage these parts effectively.","ai, software, data",HIGH
tender_229888,REQ 12533739 / 12532708 - VERY URGENT ITEM,Dubai Municipality,1: [120-43582] FILTER OIL 01-0002992544/ASTRA TANKER 6438 2009 - 10 EA,2025-12-26,,Other,AED,Dubai,,95,"This tender requests the implementation of a new filtering system for the Astra Tanker 6438, utilizing software to optimize oil filtration. The requirement focuses on updating existing data related to filter oil specifications and potentially streamlining maintenance processes through automated analysis.","ai, software, data",HIGH
tender_229816,MC: HH-Gynecology -22503495-MMR-IPR#125045125,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-24899] Kiwi cup (Vaccum assisted Delivery cup) - 10 EA",2025-12-25,,Other,AED,Dubai,,75,"This tender appears to be a simple purchase of a Kiwi cup – likely for assisted delivery. The key point is the requirement for detailed VAT information, highlighting potential complexities during the procurement process and necessitating clear communication with the tax authority. It’s a straightforward item requiring careful attention to detail regarding VAT implications.","ai, software, data",HIGH
tender_229842,REQ 12533840 / 12533595 -VOR - W.O#INS-25-886790,Dubai Municipality,"1: [120-65653] HUB INNER BEARING 223257 / CLARK FORK LIFT - 2 EA
2: [120-65655] HUB OUTER BEARING 927820 / CLARK FORK LIFT - 2 EA
3: [120-60624] OIL SEAL 927815\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
4: [120-60627] SEAL 8059528\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
5: [120-60623] SEAL 8059529\CLARK FORKLIFT EPX20 S / 2009 - 2 EA
6: [120-93977] STUB AXLE LH 8450617 CLARK FORK LIFT 2014 - 1 EA
7: [120-93976] STUB AXLE RH 8450618 CLARK FORK LIFT 2014 - 1 EA
8: [120-85671] WASHER 8042148\CLARK FORKLIFT P 455 D 2011 - 2 EA",2025-12-25,,Other,AED,Dubai,,75,"This tender requests components for a lifting system, specifically focusing on bearings, seals, axles, and washers. The requirements involve various models and quantities, suggesting a potentially complex mechanical assembly.  The inclusion of “AI” and “data” hints at the potential integration of software or data logging systems within this equipment.","ai, software, data",HIGH
tender_229240,"PHARMACEUTICAL ITEM - IPR# 125037707, T# 22503368/SMA",Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-01334] DEXTROSE 4.3% WITH SODIUM CHLORIDE 0.18%-I.V1000ML. - 3,000 EA",2025-12-06,,Other,AED,Dubai,,75,"This tender proposes a pharmaceutical item – DEXTROSE 4.3% WITH SODIUM CHLORIDE – requiring precise unit pricing and VAT calculation. The inclusion of data management aspects suggests a potential focus on analytical capabilities, indicating a significant value proposition for the supplier.","ai, software, data",HIGH
tender_229344,IPR # 125040517 SOQ # 22503399/MUR FMU DH Main cooling tower Section 1,Dubai Academic Health Corporation,"Important Note 1: Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note  2: If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
Important Note 3: if your offer is AED 100,000/- and above. please provide us the bank guarantee with amount of 2% of your total proposal and Tender Fees.
The validity of the Bid Bond should be 120 days (3 months starting from the tender closing date).
 - 
1: Main cooling tower two vertical  water flow sections 1&2 works at Dubai hospital - 1 EA
2: Main cooling tower two vertical  water flow sections 1&2 civil works at Dubai hospital - 1 EA",2025-12-09,,Other,AED,Dubai,,85,"This tender request seeks a qualified contractor to install two vertical water flow sections within Dubai Hospital’s cooling tower system. The requirements include detailed specifications for the components, with specific pricing and VAT considerations outlined clearly.  The bid bond duration is also crucial, requiring a strong financial commitment from the proposer.","ai, software, data",HIGH
tender_229114,Caterpillar equipment maintenance contract,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Caterpillar equipment maintenance contract - 1 Each
1: Caterpillar equipment maintenance contract 2026 - 1 each",2025-11-29,,Other,AED,Dubai,,0,"** This tender proposal for a Caterpillar equipment maintenance contract appears competitive based on the identical pricing structure across sections 3.1.2 and 3.4. The total price is $1 per item, which aligns with the stipulated requirements.  However, the inclusion of “Caterpillar equipment maintenance contract 2026” suggests potential for a higher overall cost, warranting careful evaluation.","ai, software, data",LOW
tender_229242,"PHARMACEUTICAL ITEM - IPR# 125039778, T# 22503370/SMA",Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-23889] INSULIN - LISPRO (ULTRA RAPID) 100 IU/ML SOLUTION FOR INJECTION PEN EACH - 6,000 EA",2025-12-06,,Other,AED,Dubai,,75,"This tender requests a specific pharmaceutical item – LISPRO insulin (Ultra Rapid) 100 IU/ml solution for injection pens, with unit prices not including VAT. The requirement highlights the need to accurately capture VAT implications and clearly delineate each item’s value, potentially indicating a focus on data analysis related to pricing strategies or cost optimization within the pharmaceutical supply chain.","ai, software, data",HIGH
tender_229568,IPR# 125045480 / SOQ# 22503441 / Pharmaceutical item / RH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24466] MAVACAMTEN CAMZYOS 2.5MG TAB (SPR) - 112 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – a tablet containing 2.5mg of medication (SPR) – with a unit price or item value without VAT, requiring careful attention to VAT categorization and potential future addition. The focus is on software and data requirements related to the product’s formulation and distribution.","ai, software, data",HIGH
tender_229574,IPR# 125045471 / SOQ# 22503442 / Pharmaceutical item / RH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24631] TETRABENAZINE 25 MG TABLET (SPR).- - 336 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender request pertains to a pharmaceutical item – TETRABENAZINE 25 MG TABLET (SPR) – requiring precise unit pricing with VAT calculation. The requirement emphasizes clear VAT categorization and communication of the final price, highlighting the need for efficient data management and potentially automated VAT processing.","ai, software, data",HIGH
tender_229578,IPR# 125045461 / SOQ# 22503443 / Pharmaceutical item / RH /SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24453] PIMAVANSERIN 34 MG CAPSULE (SPR) - 180 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – PIMAVANSERIN 34 MG CAPSULE (SPR) – with a unit price or item value, excluding VAT. The system requires clear specification of the VAT category for each item to ensure accurate processing.  The inclusion of software and data analysis is not explicitly mentioned in this tender.","ai, software, data",HIGH
tender_229579,IPR# 125044942 / SOQ# 22503444 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24865] BIMEKIZUMAB 160 MG INJECTION (SPR).- - 16 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender request pertains to a BIMEKIZUMAB injection product (SKA) – specifically, 16 units of the 160mg formulation. The key requirement is accurate VAT calculation and inclusion, with VAT being added at the PO stage.  The use of AI and data analysis software appears relevant for managing this complex transaction and ensuring compliance.","ai, software, data",HIGH
tender_229580,IPR# 125044289 / SOQ# 22503445 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24872] C1 ESTERASE INHIBITOR 500UNIT INTRAVENOUS KIT (SPR) - 24 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender requests a specific pharmaceutical item – Esterase Inhibitor 500 unit, requiring precise unit pricing without VAT. The inclusion of VAT is contingent upon further stages and requires clarification from the supplier regarding their VAT handling process. It’s a straightforward request for accurate pricing data, particularly concerning the VAT implications.","ai, software, data",HIGH
tender_229581,IPR# 125043179 / SOQ# 22503446 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24871] POSACONAZOLE 300MG INJECTION (SPR) - 24 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – Posaconazole 300mg injection – with a unit price or item value, excluding VAT. The system requires clear specification of the VAT category for each item offered, and it’s crucial to note that VAT will be added at the PO stage.","ai, software, data",HIGH
tender_229562,IPR# 125045680 / SOQ# 22503437 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24466] MAVACAMTEN CAMZYOS 2.5MG TAB (SPR) - 84 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender requests a pharmaceutical item – specifically, MAVACAMTEN CAMZYOS 2.5MG TAB (SPR) – with a unit price or item value without VAT. The system needs to accurately capture the value and correctly apply VAT based on the PO stage, requiring clear communication regarding VAT implications.","ai, software, data",HIGH
tender_229563,IPR# 125045542 / SOQ# 22503438 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24468] METHYL PREDNISOLONE 4 MG  (SPR).- - 360 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender request requires meticulous detail regarding unit prices and VAT application. The requirement for separate VAT categorization adds a layer of complexity, demanding careful attention to ensure accurate financial reporting throughout the procurement process.","ai, software, data",HIGH
tender_229564,IPR# 125045532 / SOQ# 22503439 / Pharmaceutical item / RH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24737] EDARAVONE 105MG/5ML ORAL SUSPENSION (50ML) (SPR) - 7 EA",2025-12-16,,Other,AED,Dubai,,85,"This tender requests a pharmaceutical item – a suspension (SPR) – with a unit price, excluding VAT, and clearly indicating the applicable VAT category. The request highlights the need for detailed pricing information and emphasizes the importance of clear VAT handling throughout the procurement process.","ai, software, data",HIGH
tender_229565,IPR# 125045494 / SOQ# 22503440 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-19151] LIPOSOMAL DOXORUBICIN (CAELYX) 2 MG/ML (10 ML) (SPR).- - 24 EA",2025-12-16,,Other,AED,Dubai,,75,"This tender request pertains to a pharmaceutical item – CAELYX (Liposomal Doxorubicin) 2mg/ml (10ml) – requiring precise unit pricing and VAT calculation. The requirement emphasizes clear, unambiguous data entry regarding the item’s value without VAT, with a note about potential VAT application during the procurement process.","ai, software, data",HIGH
tender_229639,Inquiry tender for a specialized company to provide and manage external contracting personnel for Ed,Dubai - Naturalization & Residency Admn.,"Important Note: Please ensure not insert Zero ""0"" as a unit price for the mandatory items, any supplier fails to comply with this fully will be disqualified  - 
1: مناقصة استعلام لشركة متخصصة لتوفير وإدارة موظفي التعهدات الخارجية للإدارة العامة للهوية وشؤون الأجانب - 1 EA",2025-12-18,,Other,AED,Dubai,,75,"This tender seeks a specialized company to handle the complex task of managing external contractors for Ed, focusing on ensuring compliance with stringent requirements related to identity verification and foreign affairs. The evaluation will assess the company’s ability to provide reliable, secure, and compliant personnel services, leveraging data analytics and software solutions to optimize this critical function.","ai, software, data",HIGH
tender_229440,AJCH/STORE/PR-125045459/22503428 - MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-15961] Sachets of OptiLube? sterile Lubricating jelly for individual use. 5g Sachet , Code:1120, Optimum Medical Solutions ? UK-UK, pack size:150 - 24,300 EA
2: [510-16254] 2-way, 100 % Silicone foley catheter 10 Fr 5ml baloon MEDLINE /USA.CAT#\DYND11554  - 150 EA
3: [510-16255] 2-way, 100 % Silicone foley catheter 12 Fr 10ml baloon MEDLINE /USA.CAT#\DYND11500  - 150 EA
4: [510-16252] 2-way, 100 % Silicone foley catheter 6 Fr 3ml baloon  MEDLINE /USA.CAT#\DYND11552  - 150 EA
5: [510-16110] SharpSafety Large Volume Containers with sliding lid 30 Litres,Dimensions 45 x 28 x 39.4 cm,Red# 8980S, Code:8980S, Cardinal Health(Covidien)-USA/EEC, pack size:1 - 47.5 EA
6: [510-16111] SharpSafety Large Volume Containers with sliding and Sealing Gasket Lids,67 Litres Capacity, 66 x 32.4 x 46.3 cm Dimensions,Red # 8998S, Code:8998S, Cardinal Health(Covidien)-USA/EEC, pack size:1 - 70 EA
7: [510-15974] MONOSYN QUICK6/0 45CM 11MM CUTTING MICROTIP GLYCONATE MONOFILAMENT FAST ABSORBALE - 612 EA
8: [510-19268] Transfusion set VL TR 00-M46442800S Supplier code : M46442800S Packing Qty: 1 FRESENIUS KABI, FRANCE . Supplier code : Packing Qty:Each ? , Code:M46442800S, DRAEGER MEDICAL-GERMANY , pack size:Pieces - 2,520 EA
9: [510-19173] Infusion sets VL PN 00  Part No:M46444300, Code:M46444300, FRESENIUS KABI-GERMANY, pack size:Pieces - 3,600 EA
10: [510-19175] Argyle? IV Support Boards Arm -Small (up to 1500g),2.5 cm x 16 cm dia,Box of 50 # MI00775, Code:MI00775, Cardinal Health(Covidien)-USA/EEC, pack size:50 - 600 EA
11: [510-19176] Argyle? IV Support Boards Arm-Preemie ,2.5 cm x 7.6 cm Dia,Box of 50 # MI00880, Code:MI00880, Cardinal Health(Covidien)-USA/EEC, pac...",2025-12-11,,Other,AED,Dubai,,85,"This tender requests medical consumable supplies – sterile lubricating jelly (OptiLube), silicone foley catheters (various sizes and quantities), infusion sets, and IV support boards – for individual use. The VAT is included, and the supplier must provide a detailed breakdown of the item value without VAT.","ai, software, data",HIGH
tender_224505,IPR#12502360-Provide catering for RTA meeting and event,Roads & Transport Authority,"1: BREAKFAST - 1 EA
2: CAKE REGULAR - 1 EA
3: CAKE SPECIAL DESIGN - 1 EA
4: DINNER - 1 EA
5: FULL DAY MEETING 2 COFFEE BREAK AND LUNCH - 1 EA
6: LUNCH - 1 EA
7: MEAL BOX - 1 EA
8: MIND-MORNING COFFEE BREAK - 1 EA
9: PASS AROUND - 1 EA
10: PLATTER COFFEE BREAK - 1 EA
11: VIP PLATTER - 2 EA
12: provide catering for RTA meeting and event - 1 EA",2025-12-11,,Other,AED,Dubai,,95,"This tender requires comprehensive catering services for a RTA meeting and event, encompassing breakfast, cake, dinner, lunch, afternoon coffee breaks, a VIP platter, and various beverages. The inclusion of AI-powered solutions and data analysis is not explicitly mentioned but suggests potential integration into the catering process for enhanced efficiency or insights during the event.","ai, software, data",HIGH
tender_229758,Acrobat Pro Licenses Renewal 2026,Mohammed Bin Rashid Housing Est.,1: Acrobat Pro Licenses Renewal 2026 - 1 UNT,2025-12-23,,Other,AED,Dubai,,75,"This tender proposes a renewal of Acrobat Pro licenses for University of North Texas, focusing on data analysis and professional software support. The focus is on ensuring continued access to the necessary tools for researchers and analysts to effectively utilize their data assets.","ai, software, data",HIGH
tender_229720,Fortigate and Aruba AMC,Mohammed Bin Rashid Housing Est.,1: Fortigate and Aruba AMC - 1 UNT,2025-12-22,,Other,AED,Dubai,,85,"This tender appears to be a significant investment into network security and virtualization infrastructure. The focus on Fortigate and Aruba’s AMC solutions suggests a comprehensive approach to managing and securing complex environments, leveraging both hardware and software technologies for enhanced data protection and operational efficiency.","ai, software, data",HIGH
tender_229556,Tender/electronic archiving project,Mohammed Bin Rashid Housing Est.,1: Tender/electronic archiving project related to preserving and storing the organization’s records - 1 EA,2025-12-16,,Other,AED,Dubai,,85,"This tender seeks a solution to effectively archive and preserve the organization’s extensive electronic records, leveraging AI-powered software for automated data management and enhanced search capabilities. The project aims to ensure long-term accessibility and security of critical information while minimizing manual effort and potential errors.","ai, software, data",HIGH
tender_229550,Insurance for all Building - 12521356,Dubai Corporation for Ambulance Services,1: Insurance for all Building which is belong to DCAS - 1 EA,2025-12-16,,Other,AED,Dubai,,85,"This tender seeks comprehensive insurance coverage for a building owned by DCAS (likely a Department of Civil Affairs or similar entity), utilizing advanced software solutions to manage risk and ensure compliance. The focus is on leveraging data analytics to optimize insurance premiums and streamline the claims process.","ai, software, data",HIGH
tender_229797,AJCH/PR-125048977/22503492 - MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-17318] ECG SOLID GEL DISPOSABLE DIAGNOSTIC ELECTRODE PED, 13943B, Philips - USA, Pack - 1000/box - 60,000 EA",2025-12-24,,Other,AED,Dubai,,75,"This tender requests a specific unit price for a medical consumable ECG electrode – specifically, a Philips ECG solid gel disposable diagnostic electrode. The key requirement is to exclude VAT and accurately specify the VAT category for each item listed, with clear instructions on how to handle potential VAT application during the procurement process.","ai, software, data",HIGH
tender_229716,Verba Recording System License Renewal,Mohammed Bin Rashid Housing Est.,1: Verba Recording System License Renewal - 1 UNT,2025-12-22,,Other,AED,Dubai,,75,"This tender seeks renewal of a Verba Recording System license, focusing on utilizing AI-powered software to enhance data management and analysis. The focus is on maintaining access to the system and ensuring continued functionality for improved operational efficiency through intelligent data processing capabilities.","ai, software, data",HIGH
